timestamp,container,cpu_pct,mem_usage,mem_pct,net_io,block_io
15:56:47,qa-k6-run-a73f45892db5,2.53,68.34MiB on 15.26GiB,0.44,173kB on 90.3kB,0B on 0B
15:56:47,qa-gateway-1,17.34,188.3MiB on 768MiB,24.52,208kB on 262kB,0B on 201kB
15:56:47,qa-orderapi-1,39.06,315.9MiB on 1GiB,30.84,436kB on 432kB,0B on 102kB
15:56:47,qa-userapi-1,101.43,339.7MiB on 1GiB,33.17,346kB on 293kB,0B on 102kB
15:56:47,qa-mysql-order-1,1.83,399.3MiB on 15.26GiB,2.55,192kB on 212kB,131kB on 283MB
15:56:47,qa-mysql-user-1,2.10,400.5MiB on 15.26GiB,2.56,173kB on 237kB,147kB on 284MB
15:56:47,qa-redis-1,0.56,3.43MiB on 15.26GiB,0.02,48.7kB on 12.6kB,57.3kB on 0B
15:56:47,qa-eureka-1,10.46,218.7MiB on 512MiB,42.72,22.9kB on 98.7kB,0B on 127kB
15:56:47,qa-kafka-1,17.21,409.3MiB on 15.26GiB,2.62,177kB on 166kB,0B on 1.75MB
15:57:35,qa-k6-run-a73f45892db5,13.87,109.2MiB on 15.26GiB,0.70,4.78MB on 4.35MB,0B on 0B
15:57:35,qa-gateway-1,51.99,200.5MiB on 768MiB,26.11,8.99MB on 11MB,0B on 238kB
15:57:35,qa-orderapi-1,206.74,383.2MiB on 1GiB,37.43,23.1MB on 22.2MB,0B on 139kB
15:57:35,qa-userapi-1,25.32,375.8MiB on 1GiB,36.70,7.83MB on 6.27MB,0B on 139kB
15:57:35,qa-mysql-order-1,43.61,414MiB on 15.26GiB,2.65,11.8MB on 14.1MB,131kB on 345MB
15:57:35,qa-mysql-user-1,21.25,402.6MiB on 15.26GiB,2.58,5.38MB on 6.94MB,147kB on 322MB
15:57:35,qa-redis-1,4.77,5.367MiB on 15.26GiB,0.03,5.06MB on 2.41MB,57.3kB on 840kB
15:57:35,qa-eureka-1,1.12,219.7MiB on 512MiB,42.90,29.3kB on 142kB,0B on 164kB
