timestamp,container,cpu_pct,mem_usage,mem_pct,net_io,block_io
13:50:10,qa-gateway-1,66.97,184.9MiB on 768MiB,24.07,36.1kB on 37.1kB,0B on 184kB
13:50:10,qa-orderapi-2,174.41,316.1MiB on 1GiB,30.87,212kB on 209kB,0B on 94.2kB
13:50:10,qa-orderapi-4,163.94,310.7MiB on 1GiB,30.34,166kB on 166kB,0B on 81.9kB
13:50:10,qa-orderapi-3,152.22,314.8MiB on 1GiB,30.74,167kB on 168kB,0B on 94.2kB
13:50:10,qa-orderapi-1,149.96,314.5MiB on 1GiB,30.71,166kB on 165kB,0B on 86kB
13:50:10,qa-userapi-1,128.68,338.7MiB on 1GiB,33.08,226kB on 196kB,0B on 90.1kB
13:50:10,qa-redis-1,0.59,3.418MiB on 15.26GiB,0.02,7.31kB on 1.84kB,0B on 0B
13:50:10,qa-mysql-order-1,12.08,417.3MiB on 15.26GiB,2.67,400kB on 434kB,131kB on 281MB
13:50:10,qa-mysql-user-1,6.61,401MiB on 15.26GiB,2.57,136kB on 156kB,131kB on 283MB
13:50:10,qa-eureka-1,2.47,210.1MiB on 512MiB,41.04,35.9kB on 132kB,0B on 115kB
13:50:10,qa-kafka-1,191.01,469.7MiB on 15.26GiB,3.01,325kB on 282kB,0B on 1.7MB
13:50:38,qa-k6-run-d5a2b2c38f8d,10.92,88.42MiB on 15.26GiB,0.57,1.95MB on 1.49MB,0B on 0B
13:50:38,qa-gateway-1,19.84,200.4MiB on 768MiB,26.09,3.36MB on 4.16MB,0B on 209kB
13:50:38,qa-orderapi-2,46.74,339.9MiB on 1GiB,33.20,1.82MB on 1.8MB,0B on 119kB
13:50:38,qa-orderapi-4,38.58,341.6MiB on 1GiB,33.36,2MB on 2.06MB,0B on 106kB
13:50:38,qa-orderapi-3,39.10,339.6MiB on 1GiB,33.16,1.75MB on 1.74MB,0B on 119kB
13:50:38,qa-orderapi-1,45.79,355MiB on 1GiB,34.67,1.79MB on 1.78MB,0B on 111kB
13:50:38,qa-userapi-1,213.65,371MiB on 1GiB,36.23,2.09MB on 1.56MB,0B on 115kB
13:50:38,qa-redis-1,4.96,3.934MiB on 15.26GiB,0.03,1.16MB on 564kB,0B on 0B
13:50:38,qa-mysql-order-1,19.75,457.9MiB on 15.26GiB,2.93,3.73MB on 4.41MB,221kB on 303MB
13:50:38,qa-mysql-user-1,5.21,403.8MiB on 15.26GiB,2.58,843kB on 1.4MB,131kB on 289MB
13:50:38,qa-eureka-1,2.59,210.6MiB on 512MiB,41.13,44.6kB on 184kB,0B on 139kB
13:50:38,qa-kafka-1,8.74,426.9MiB on 15.26GiB,2.73,1.22MB on 710kB,0B on 2.5MB
13:51:04,qa-k6-run-d5a2b2c38f8d,9.55,94.07MiB on 15.26GiB,0.60,4.02MB on 3.05MB,0B on 0B
13:51:04,qa-gateway-1,19.50,210.7MiB on 768MiB,27.44,6.94MB on 8.54MB,0B on 221kB
13:51:04,qa-orderapi-2,36.76,345.2MiB on 1GiB,33.71,3.72MB on 3.6MB,0B on 131kB
13:51:04,qa-orderapi-4,27.28,348.5MiB on 1GiB,34.03,3.9MB on 3.92MB,0B on 119kB
13:51:04,qa-orderapi-3,33.07,343MiB on 1GiB,33.49,3.5MB on 3.39MB,0B on 131kB
13:51:04,qa-orderapi-1,26.25,360MiB on 1GiB,35.15,3.54MB on 3.45MB,0B on 123kB
13:51:04,qa-userapi-1,207.43,397.3MiB on 1GiB,38.80,4.21MB on 2.68MB,0B on 127kB
13:51:04,qa-redis-1,4.49,4.352MiB on 15.26GiB,0.03,2.49MB on 1.3MB,0B on 0B
13:51:04,qa-mysql-order-1,19.57,461.6MiB on 15.26GiB,2.95,7.33MB on 9.15MB,221kB on 327MB
13:51:04,qa-mysql-user-1,8.69,404.1MiB on 15.26GiB,2.59,1.35MB on 2.39MB,131kB on 293MB
13:51:04,qa-eureka-1,2.99,211MiB on 512MiB,41.21,48kB on 222kB,0B on 152kB
13:51:04,qa-kafka-1,3.90,437.1MiB on 15.26GiB,2.80,2.11MB on 1.63MB,0B on 3.09MB
13:51:30,qa-k6-run-d5a2b2c38f8d,8.59,113.5MiB on 15.26GiB,0.73,6.29MB on 4.71MB,0B on 0B
13:51:30,qa-gateway-1,10.99,222.2MiB on 768MiB,28.93,10.8MB on 13.3MB,0B on 246kB
13:51:30,qa-orderapi-2,18.41,346.4MiB on 1GiB,33.83,5.73MB on 5.47MB,0B on 156kB
13:51:30,qa-orderapi-4,17.80,351.4MiB on 1GiB,34.31,6.14MB on 6.07MB,0B on 143kB
13:51:30,qa-orderapi-3,17.48,350.5MiB on 1GiB,34.22,5.67MB on 5.37MB,0B on 156kB
13:51:30,qa-orderapi-1,21.06,362.1MiB on 1GiB,35.37,5.67MB on 5.37MB,0B on 147kB
13:51:30,qa-userapi-1,199.87,434.6MiB on 1GiB,42.44,5.88MB on 3.89MB,0B on 152kB
13:51:30,qa-redis-1,2.17,4.781MiB on 15.26GiB,0.03,4.04MB on 2.22MB,0B on 0B
13:51:30,qa-mysql-order-1,18.88,463.7MiB on 15.26GiB,2.97,11.1MB on 14.4MB,221kB on 357MB
13:51:30,qa-mysql-user-1,4.14,404.3MiB on 15.26GiB,2.59,1.86MB on 3.45MB,131kB on 296MB
13:51:30,qa-eureka-1,1.05,211.2MiB on 512MiB,41.26,56.2kB on 268kB,0B on 176kB
13:51:30,qa-kafka-1,19.74,447.3MiB on 15.26GiB,2.86,2.99MB on 1.95MB,0B on 4.01MB
13:51:56,qa-k6-run-d5a2b2c38f8d,8.17,120.5MiB on 15.26GiB,0.77,8.59MB on 6.3MB,0B on 0B
13:51:56,qa-gateway-1,11.15,229.1MiB on 768MiB,29.83,14.6MB on 17.9MB,0B on 270kB
13:51:56,qa-orderapi-2,26.81,350.3MiB on 1GiB,34.21,7.96MB on 7.46MB,0B on 180kB
13:51:56,qa-orderapi-4,37.54,349.9MiB on 1GiB,34.17,8.45MB on 8.24MB,0B on 168kB
13:51:56,qa-orderapi-3,19.97,353.2MiB on 1GiB,34.50,7.97MB on 7.43MB,0B on 180kB
13:51:56,qa-orderapi-1,22.67,363.8MiB on 1GiB,35.53,7.92MB on 7.4MB,0B on 172kB
13:51:56,qa-userapi-1,196.97,474.4MiB on 1GiB,46.32,7.44MB on 5.03MB,0B on 176kB
13:51:56,qa-redis-1,2.13,5.227MiB on 15.26GiB,0.03,5.7MB on 3.27MB,0B on 778kB
13:51:56,qa-mysql-order-1,20.78,465.5MiB on 15.26GiB,2.98,15.2MB on 20.3MB,221kB on 378MB
13:51:56,qa-mysql-user-1,4.01,404.3MiB on 15.26GiB,2.59,2.36MB on 4.47MB,131kB on 297MB
13:51:56,qa-eureka-1,1.65,211.4MiB on 512MiB,41.29,64.9kB on 321kB,0B on 201kB
13:51:56,qa-kafka-1,174.43,521.8MiB on 15.26GiB,3.34,3.99MB on 2.32MB,0B on 4.97MB
13:52:21,qa-k6-run-d5a2b2c38f8d,9.08,125.7MiB on 15.26GiB,0.80,10.8MB on 7.76MB,0B on 0B
13:52:21,qa-gateway-1,10.79,235.4MiB on 768MiB,30.65,18.4MB on 22.5MB,0B on 283kB
13:52:21,qa-orderapi-2,68.16,363.4MiB on 1GiB,35.49,10.2MB on 9.52MB,0B on 193kB
13:52:21,qa-orderapi-4,60.57,377.2MiB on 1GiB,36.84,10.8MB on 10.4MB,0B on 180kB
13:52:21,qa-orderapi-3,73.27,381.9MiB on 1GiB,37.29,10.3MB on 9.51MB,0B on 193kB
13:52:21,qa-orderapi-1,14.89,364.9MiB on 1GiB,35.64,10.2MB on 9.45MB,0B on 184kB
13:52:21,qa-userapi-1,195.77,475.1MiB on 1GiB,46.40,8.96MB on 6.15MB,0B on 188kB
13:52:21,qa-redis-1,2.43,5.629MiB on 15.26GiB,0.04,7.44MB on 4.43MB,0B on 778kB
13:52:21,qa-mysql-order-1,20.80,466.4MiB on 15.26GiB,2.98,19.3MB on 26.4MB,221kB on 400MB
13:52:21,qa-mysql-user-1,10.80,404.3MiB on 15.26GiB,2.59,2.82MB on 5.42MB,131kB on 297MB
13:52:21,qa-eureka-1,1.49,211.6MiB on 512MiB,41.32,73kB on 367kB,0B on 213kB
13:52:21,qa-kafka-1,16.46,471.8MiB on 15.26GiB,3.02,4.92MB on 2.66MB,0B on 5.53MB
13:52:44,qa-k6-run-d5a2b2c38f8d,8.99,126.6MiB on 15.26GiB,0.81,13.1MB on 9.29MB,0B on 0B
13:52:44,qa-gateway-1,10.49,235.5MiB on 768MiB,30.67,22.2MB on 27.2MB,0B on 307kB
13:52:44,qa-orderapi-2,14.37,364MiB on 1GiB,35.55,12.8MB on 11.9MB,0B on 217kB
13:52:44,qa-orderapi-4,19.30,355MiB on 1GiB,34.67,13.3MB on 12.6MB,0B on 205kB
13:52:44,qa-orderapi-3,15.49,350.5MiB on 1GiB,34.23,12.6MB on 11.6MB,0B on 217kB
13:52:44,qa-orderapi-1,15.48,365.5MiB on 1GiB,35.69,12.7MB on 11.6MB,0B on 209kB
13:52:44,qa-userapi-1,195.95,491.6MiB on 1GiB,48.01,10.5MB on 7.26MB,0B on 213kB
13:52:44,qa-redis-1,4.16,6.047MiB on 15.26GiB,0.04,9.3MB on 5.7MB,0B on 778kB
13:52:44,qa-mysql-order-1,15.96,467.3MiB on 15.26GiB,2.99,23.4MB on 32.5MB,221kB on 420MB
13:52:44,qa-mysql-user-1,6.45,404.3MiB on 15.26GiB,2.59,3.32MB on 6.45MB,131kB on 297MB
13:52:44,qa-eureka-1,1.05,211.7MiB on 512MiB,41.35,80.6kB on 406kB,0B on 238kB
13:52:44,qa-kafka-1,3.60,472MiB on 15.26GiB,3.02,5.89MB on 3.01MB,0B on 6.56MB
13:53:10,qa-k6-run-d5a2b2c38f8d,7.99,128.4MiB on 15.26GiB,0.82,15.7MB on 10.9MB,0B on 0B
13:53:10,qa-gateway-1,8.65,235.6MiB on 768MiB,30.67,26.2MB on 32MB,0B on 332kB
13:53:10,qa-orderapi-2,20.31,356.8MiB on 1GiB,34.84,15.6MB on 14.3MB,0B on 242kB
13:53:10,qa-orderapi-4,15.01,361.7MiB on 1GiB,35.32,16MB on 14.9MB,0B on 229kB
13:53:10,qa-orderapi-3,10.35,354.5MiB on 1GiB,34.61,15MB on 13.7MB,0B on 242kB
13:53:10,qa-orderapi-1,11.07,381.6MiB on 1GiB,37.26,15.4MB on 13.9MB,0B on 233kB
13:53:10,qa-userapi-1,193.87,501.4MiB on 1GiB,48.96,12MB on 8.39MB,0B on 238kB
13:53:10,qa-redis-1,1.87,6.398MiB on 15.26GiB,0.04,11.3MB on 7.08MB,0B on 2.23MB
13:53:10,qa-mysql-order-1,17.41,468.6MiB on 15.26GiB,3.00,28.1MB on 39.7MB,221kB on 448MB
13:53:10,qa-mysql-user-1,3.92,404.3MiB on 15.26GiB,2.59,3.81MB on 7.45MB,131kB on 298MB
13:53:10,qa-eureka-1,1.08,211.8MiB on 512MiB,41.37,88.6kB on 452kB,0B on 262kB
