timestamp,threads_connected,threads_running,questions
14:46:49,121	2	689303
14:46:57,121	2	689434
14:47:05,121	2	689565
14:47:13,121	2	689692
14:47:20,121	2	689815
14:47:28,121	2	689946
14:47:36,121	16	721866
14:47:45,121	18	786580
14:47:53,121	13	853824
14:48:02,121	23	920633
14:48:10,121	19	997587
14:48:18,121	14	1074569
14:48:27,121	15	1153180
14:48:35,121	10	1233727
14:48:44,121	22	1311448
14:48:52,121	21	1381164
14:49:00,121	39	1463584
14:49:08,121	3	1535104
14:49:16,121	3	1543213
14:49:24,121	3	1551084
