timestamp,container,cpu_pct,mem_usage,mem_pct,net_io,block_io
10:10:38,qa-gateway-1,0.11,165.8MiB on 768MiB,21.58,19.7kB on 18.5kB,0B on 193kB
10:10:38,qa-orderapi-1,2.81,293.8MiB on 1GiB,28.70,200kB on 192kB,0B on 90.1kB
10:10:38,qa-userapi-1,1.79,319.2MiB on 1GiB,31.17,155kB on 145kB,0B on 94.2kB
10:10:38,qa-eureka-1,1.28,208.1MiB on 512MiB,40.65,22.7kB on 123kB,0B on 111kB
10:10:38,qa-mysql-order-1,3.62,398.5MiB on 15.26GiB,2.55,109kB on 118kB,131kB on 279MB
10:10:38,qa-redis-1,2.77,3.383MiB on 15.26GiB,0.02,3.13kB on 126B,0B on 0B
10:10:38,qa-mysql-user-1,3.68,400.2MiB on 15.26GiB,2.56,106kB on 112kB,131kB on 286MB
10:10:38,qa-kafka-1,3.72,405MiB on 15.26GiB,2.59,125kB on 117kB,0B on 1.52MB
10:10:46,qa-k6-run-a4819b779e3c,7.23,74.95MiB on 15.26GiB,0.48,313kB on 223kB,0B on 0B
10:10:46,qa-gateway-1,54.30,186.1MiB on 768MiB,24.23,513kB on 624kB,0B on 193kB
10:10:46,qa-orderapi-1,119.44,342.2MiB on 1GiB,33.42,1.05MB on 1.01MB,0B on 90.1kB
10:10:46,qa-userapi-1,198.64,342.8MiB on 1GiB,33.47,499kB on 407kB,0B on 94.2kB
10:10:46,qa-eureka-1,0.94,208.6MiB on 512MiB,40.74,26.2kB on 143kB,0B on 111kB
10:10:46,qa-mysql-order-1,16.98,402.5MiB on 15.26GiB,2.58,540kB on 613kB,131kB on 283MB
10:10:46,qa-redis-1,1.52,3.504MiB on 15.26GiB,0.02,153kB on 72.8kB,0B on 0B
10:10:46,qa-mysql-user-1,10.19,403.2MiB on 15.26GiB,2.58,322kB on 437kB,131kB on 288MB
10:10:46,qa-kafka-1,22.56,407.8MiB on 15.26GiB,2.61,213kB on 187kB,0B on 1.62MB
10:10:55,qa-k6-run-a4819b779e3c,7.20,76.41MiB on 15.26GiB,0.49,798kB on 606kB,0B on 0B
10:10:55,qa-gateway-1,41.66,196.1MiB on 768MiB,25.54,1.5MB on 1.83MB,0B on 205kB
10:10:55,qa-orderapi-1,101.28,357.7MiB on 1GiB,34.94,2.74MB on 2.6MB,0B on 102kB
10:10:55,qa-userapi-1,197.06,351.3MiB on 1GiB,34.31,1.19MB on 935kB,0B on 106kB
10:10:55,qa-eureka-1,2.09,208.9MiB on 512MiB,40.81,28.7kB on 162kB,0B on 123kB
10:10:55,qa-mysql-order-1,14.31,405.3MiB on 15.26GiB,2.59,1.34MB on 1.6MB,131kB on 289MB
10:10:55,qa-redis-1,1.85,3.633MiB on 15.26GiB,0.02,469kB on 230kB,0B on 0B
10:10:55,qa-mysql-user-1,8.10,404.8MiB on 15.26GiB,2.59,585kB on 867kB,131kB on 290MB
10:10:55,qa-kafka-1,8.13,413.1MiB on 15.26GiB,2.64,333kB on 265kB,0B on 1.81MB
10:11:03,qa-k6-run-a4819b779e3c,8.34,87.99MiB on 15.26GiB,0.56,1.49MB on 1.14MB,0B on 0B
10:11:03,qa-gateway-1,53.72,207.1MiB on 768MiB,26.97,2.57MB on 3.14MB,0B on 205kB
10:11:03,qa-orderapi-1,88.85,360.7MiB on 1GiB,35.23,4.62MB on 4.34MB,0B on 102kB
10:11:03,qa-userapi-1,210.79,354.5MiB on 1GiB,34.62,1.81MB on 1.33MB,0B on 106kB
10:11:03,qa-eureka-1,1.04,209.1MiB on 512MiB,40.83,29.8kB on 174kB,0B on 123kB
10:11:03,qa-mysql-order-1,16.40,406.1MiB on 15.26GiB,2.60,2.21MB on 2.71MB,131kB on 294MB
10:11:03,qa-redis-1,3.85,3.777MiB on 15.26GiB,0.02,820kB on 409kB,0B on 0B
