timestamp,container,cpu_pct,mem_usage,mem_pct,net_io,block_io
16:15:22,qa-k6-run-1a8906486f7f,2.48,67.04MiB on 15.26GiB,0.43,79.5kB on 34.1kB,0B on 0B
16:15:22,qa-gateway-1,17.06,177.6MiB on 768MiB,23.13,101kB on 123kB,0B on 197kB
16:15:22,qa-orderapi-3,11.43,304.5MiB on 1GiB,29.74,196kB on 194kB,0B on 94.2kB
16:15:22,qa-orderapi-2,10.43,309.5MiB on 1GiB,30.22,187kB on 187kB,0B on 94.2kB
16:15:22,qa-orderapi-1,12.32,320.5MiB on 1GiB,31.30,171kB on 172kB,0B on 106kB
16:15:22,qa-orderapi-4,13.26,313.8MiB on 1GiB,30.64,190kB on 190kB,0B on 102kB
16:15:22,qa-userapi-1,78.20,345.1MiB on 1GiB,33.70,241kB on 214kB,0B on 94.2kB
16:15:22,qa-redis-1,0.60,3.434MiB on 15.26GiB,0.02,22.5kB on 6.34kB,0B on 0B
16:15:22,qa-eureka-1,5.72,206.8MiB on 512MiB,40.39,35.3kB on 126kB,0B on 115kB
16:15:22,qa-mysql-user-1,1.86,400.1MiB on 15.26GiB,2.56,139kB on 165kB,131kB on 286MB
16:15:22,qa-mysql-order-1,2.14,415.6MiB on 15.26GiB,2.66,398kB on 432kB,131kB on 283MB
16:15:22,qa-kafka-1,3.12,414.2MiB on 15.26GiB,2.65,348kB on 297kB,0B on 1.74MB
16:16:10,qa-k6-run-1a8906486f7f,42.37,114.3MiB on 15.26GiB,0.73,8.13MB on 7.44MB,0B on 0B
16:16:10,qa-gateway-1,68.39,205.6MiB on 768MiB,26.77,15.4MB on 19MB,0B on 233kB
16:16:10,qa-orderapi-3,172.55,362.7MiB on 1GiB,35.42,10.6MB on 10.3MB,0B on 131kB
16:16:10,qa-orderapi-2,198.86,377.2MiB on 1GiB,36.83,11.7MB on 11.3MB,0B on 131kB
16:16:10,qa-orderapi-1,179.80,366.9MiB on 1GiB,35.83,10.6MB on 10.3MB,0B on 143kB
16:16:10,qa-orderapi-4,182.50,370.6MiB on 1GiB,36.19,10.6MB on 10.4MB,0B on 139kB
16:16:10,qa-userapi-1,52.02,374MiB on 1GiB,36.52,6.33MB on 4.09MB,0B on 131kB
16:16:10,qa-redis-1,12.83,6.746MiB on 15.26GiB,0.04,8.64MB on 4.43MB,0B on 840kB
16:16:10,qa-eureka-1,11.60,208MiB on 512MiB,40.62,47.9kB on 184kB,0B on 152kB
16:16:10,qa-mysql-user-1,25.50,401.6MiB on 15.26GiB,2.57,3.55MB on 4.38MB,131kB on 306MB
16:16:10,qa-mysql-order-1,109.55,476.1MiB on 15.26GiB,3.05,22.7MB on 26.9MB,131kB on 405MB
16:16:10,qa-kafka-1,101.03,453MiB on 15.26GiB,2.90,3.62MB on 3.27MB,0B on 3.78MB
16:17:10,qa-k6-run-1a8906486f7f,43.95,182.3MiB on 15.26GiB,1.17,37.6MB on 34.8MB,0B on 0B
16:17:10,qa-gateway-1,82.61,239.1MiB on 768MiB,31.14,71.6MB on 88.7MB,0B on 283kB
16:17:10,qa-orderapi-3,143.02,429MiB on 1GiB,41.90,47.9MB on 45.4MB,0B on 180kB
16:17:10,qa-orderapi-2,185.29,459.5MiB on 1GiB,44.87,50.1MB on 47MB,0B on 180kB
16:17:10,qa-orderapi-1,148.90,466.5MiB on 1GiB,45.56,47.6MB on 45.2MB,0B on 193kB
16:17:10,qa-orderapi-4,145.38,449.7MiB on 1GiB,43.92,48MB on 45.6MB,0B on 188kB
16:17:10,qa-userapi-1,31.42,383.9MiB on 1GiB,37.49,16.9MB on 12.5MB,0B on 180kB
16:17:10,qa-redis-1,16.56,18.54MiB on 15.26GiB,0.12,40.9MB on 20.5MB,0B on 8.77MB
16:17:10,qa-eureka-1,8.30,209.5MiB on 512MiB,40.92,61.3kB on 245kB,0B on 201kB
16:17:10,qa-mysql-user-1,37.03,404.6MiB on 15.26GiB,2.59,11MB on 13.5MB,131kB on 364MB
16:17:10,qa-mysql-order-1,147.76,507.2MiB on 15.26GiB,3.25,96.5MB on 118MB,131kB on 730MB
16:17:10,qa-kafka-1,17.97,533MiB on 15.26GiB,3.41,10.2MB on 7.03MB,0B on 8.48MB
16:18:09,qa-k6-run-1a8906486f7f,61.59,195.6MiB on 15.26GiB,1.25,76.2MB on 70.5MB,0B on 0B
16:18:09,qa-gateway-1,75.49,239.1MiB on 768MiB,31.14,144MB on 179MB,0B on 332kB
16:18:09,qa-orderapi-3,163.16,432.1MiB on 1GiB,42.19,96.3MB on 90.2MB,0B on 229kB
16:18:09,qa-orderapi-2,159.89,481.5MiB on 1GiB,47.02,98.3MB on 91.7MB,0B on 229kB
16:18:09,qa-orderapi-1,162.77,468.5MiB on 1GiB,45.76,96.8MB on 90.7MB,0B on 242kB
16:18:09,qa-orderapi-4,168.86,451.1MiB on 1GiB,44.05,96.8MB on 90.6MB,0B on 238kB
16:18:09,qa-userapi-1,46.06,386.1MiB on 1GiB,37.70,27.7MB on 21MB,0B on 229kB
16:18:09,qa-redis-1,21.05,34MiB on 15.26GiB,0.22,83.3MB on 41.8MB,0B on 27.5MB
16:18:09,qa-eureka-1,1.03,210.6MiB on 512MiB,41.13,71.2kB on 305kB,0B on 250kB
16:18:09,qa-mysql-user-1,24.66,406.4MiB on 15.26GiB,2.60,19MB on 23.2MB,131kB on 422MB
